,Cod_UNb_PDV,Cod UNB,Cod Pdv,Nome Fantasia
0,730009_13791,730009,13791,BURGER KING
1,607371_24086,607371,24086,BOOBS DRIVE SARANDI
2,607371_21259,607371,21259,DIVINO FOGAO
3,607371_14049,607371,14049,VIVENDA DO CAMARAO
4,607371_2277,607371,2277,JIN JIN FAST FOOD
5,607371_16365,607371,16365,JIN JIN CHINESE FOOD
6,607371_24175,607371,24175,JOHNNY ROCKETS
7,607371_23675,607371,23675,BURGER KING
8,607371_23691,607371,23691,BK OPERACAO E ASSESS
9,607371_22128,607371,22128,BURGER KING CM
10,607371_20443,607371,20443,BK MARINGA PARK SHOP
11,607371_1132,607371,1132,HOTEL IBIS MARINGA
12,607371_19312,607371,19312,HOTEL IBIS CENTRO
13,607371_86244,607371,86244,AGUA DOCE CACHACARIA
14,607371_25193,607371,25193,BK DRIVE MARINGA
15,607371_12847,607371,12847,PIZZA HUT
16,607371_96081,607371,96081,LOPES  LOIOLA LTDA
17,607371_25822,607371,25822,MARKET4U
18,607371_96021,607371,96021,HINO MERCADO INTELIG
19,607371_24777,607371,24777,MONTANA GRILL
20,730882_9315,730882,9315,PICOS BURGUER BOBS
21,65522_9139,65522,9139,MONTANA GRILL
22,65522_10723,65522,10723,MONTANA EXPRESS
23,408158_12585,408158,12585,BURGER KING
24,630004_18525,630004,18525,CROASONHO TORRES
25,612820_2265,612820,2265,AGUA DOCE CACHACARIA
26,599794_15253,599794,15253,BURGER KING
27,599794_10032,599794,10032,BOB'S
28,643009_12503,643009,12503,10 PASTEIS
29,643009_12832,643009,12832,CROASONHO
30,295370_23659,295370,23659,VIVENDA DO CAMARAO
31,295370_30614,295370,30614,BOB  S CAPIM DOURADO
32,295370_28873,295370,28873, OGAWA E CIA LTDA ME
33,111_6387,111,6387,AGUA DOCE RONDONOPOL
34,295370_24568,295370,24568,DIVINO FOGAO PALMAS
35,295370_29666,295370,29666,DIVINO FOGaO CAPIM
36,295370_27833,295370,27833,GRILETTO
37,295370_26331,295370,26331,CHOPP TIME
38,295370_31520,295370,31520,BURG KING PALAMS SHO
39,295370_33157,295370,33157,G63
40,296708_6118,296708,6118,VIVENDA DO CAMARAO
41,296708_31234,296708,31234,BILLY THE GRILL
42,296708_30933,296708,30933,BURGUER KING SHOPPIN
43,296708_30631,296708,30631,BURGUER KING
44,296708_30930,296708,30930,BURGER KING RIO BRAN
45,296708_81416,296708,81416,BURGER KING JD NORTE
46,296708_18258,296708,18258,IBIS HOTEIS
47,296708_30391,296708,30391,BILLY THE GRILL
48,296708_81850,296708,81850,PIZZA HUT
49,296708_6119,296708,6119,UCI RIBEIRO
50,296708_33396,296708,33396,OUTBACK STEAKHOUSE
51,296708_34738,296708,34738,VERT GESTAO DE NEGOC
52,296708_35920,296708,35920,FILIAL BURGER KING F
53,548006_91603,548006,91603,10 PASTEIS
54,1188003_33283,1188003,33283,BURGER KING BRASIL
55,1188003_35271,1188003,35271,HOTEL IBIS
56,1188003_35316,1188003,35316,HOTEL IBIS
57,376469_3893,376469,3893,BURGER KING
58,376469_4691,376469,4691,Cine System
59,1320009_32290,1320009,32290,DIVINO FOGAO CG
60,1320009_27448,1320009,27448,DIVINO FOGAO NORTE S
61,1320009_22823,1320009,22823,VIVENDA DO CAMARAO
62,1320009_32283,1320009,32283,MONTANA GRILL
63,1320009_2142,1320009,2142,BURGER  KING
64,1320009_99893,1320009,99893,BURGUER KING
65,1320009_99892,1320009,99892,BURGUER KING
66,1320009_99905,1320009,99905,BURGER KING
67,1320009_2327,1320009,2327,BURGER KING
68,1320009_98206,1320009,98206,BURGER KING
69,1320009_7441,1320009,7441,NOVOTEL
70,1320009_15137,1320009,15137,AGUA DOCE
71,1320009_3536,1320009,3536,BK  BRILHANTE
72,1320009_2408,1320009,2408,BURGER KING
73,1320009_2420,1320009,2420,BURGER KING
74,1320009_31910,1320009,31910,GRILHETTOS
75,1320009_30559,1320009,30559,OUTBACK
76,1320009_18577,1320009,18577,PIZZA HUT
77,1320009_29525,1320009,29525,UCI CINEMAS
78,1320009_2172,1320009,2172,SALOME BAR
79,1320009_98915,1320009,98915,FN MERCADO AUTONOMO
80,1320009_5717,1320009,5717,MKT 4 YOU
81,1320009_98711,1320009,98711,BK COMPER ROTATORIA
82,1320009_6402,1320009,6402,TGCAMPO GRANDE
83,1320009_6129,1320009,6129,10 Pasteis
84,1320009_6532,1320009,6532,DMAHA MARKET
85,662003_14919,662003,14919,JIN JIN WOK
86,662003_10400,662003,10400,BK - FRANCA SHOPPING
87,662003_14351,662003,14351,BK - ALONSO Y ALONSO
88,662003_2516,662003,2516,GRILETTO
89,662003_96384,662003,96384,MARKET 4 YOU
90,662003_14660,662003,14660,BAUNILHA - CONFORT
91,662003_1703,662003,1703,HABIBS
92,662003_19742,662003,19742,PAULA FILHO
93,615323_6423,615323,6423,HABIB S PERUIBE
94,505145_53963,505145,53963,BURGER KING JUAZEIRO
95,505145_1372,505145,1372,GRILETTO JUA GARDEN
96,542644_15818,542644,15818,DIVINO FOGAO G SHOP
97,542644_39855,542644,39855,CHOPP TIME BUENA VIS
98,542644_32981,542644,32981,COCO BAMBU GOIANIA
99,542644_43535,542644,43535,DETROIT PLAZA D ORO
100,542644_8964,542644,8964,DETROIT CIDADE JD
101,542644_10926,542644,10926,DETROIT PORTAL SHOP
102,542644_42423,542644,42423,DETROIT ALTO GLORIA
103,542644_70400,542644,70400,DIVINO FOGAO BURITI
104,542644_39612,542644,39612,DIVINO FOGAO PASSEIO
105,542644_43654,542644,43654,DIVINO FOGAO FLAMB
106,542644_32660,542644,32660,VIVENDA DO CAMARAO
107,542644_30751,542644,30751,VIVENDA DO CAMARAO
108,542644_16101,542644,16101,GRILETTO CERRADO
109,542644_16917,542644,16917,PIZZA HUT FLAMBOYANT
110,542644_17302,542644,17302,GRILETTO PASSEIO
111,542644_38000,542644,38000,JIN JIN WOK
112,542644_43533,542644,43533,MONTANA GRILL EXPRES
113,542644_13631,542644,13631,BK PASSEIO DAS AGUAS
114,542644_9670,542644,9670,BK APARECIDA
115,542644_13647,542644,13647,BK AV 136
116,542644_13651,542644,13651,BK BURITI SHOP
117,542644_44913,542644,44913,BK SHOPPING CERRADO
118,542644_14816,542644,14816,BK AEROPORTO
119,542644_13650,542644,13650,BK FLAMBOYANT
120,542644_14819,542644,14819,BK BUENA VISTA
121,542644_13642,542644,13642,BK ARAGUAIA SHOPPING
122,542644_10503,542644,10503,BK PORTAL SHOP
123,542644_13646,542644,13646,BK AV 85
124,542644_13636,542644,13636,BK CIDADE JARDIM
125,542644_13645,542644,13645,BK BOUGANVILLE
126,542644_10642,542644,10642,BK PERIMETRAL
127,542644_13641,542644,13641,BK GOIANIA SHOP
128,542644_17388,542644,17388,BK ELDORADO
129,542644_18140,542644,18140,MIMI GRILL EVENTOS
130,542644_18122,542644,18122,PIZZA HUT BURITI
131,542644_18300,542644,18300,BK DRIVE T-63
132,542644_19043,542644,19043,BK PORTAL SUL
133,542644_39307,542644,39307,GRILETTO BURITI SHOP
134,542644_35000,542644,35000,OUTBACK PASSEIO
135,542644_33494,542644,33494,OUTBACK FLAMBOYANT
136,542644_39734,542644,39734,OUTBACK GOIANIA SHOP
137,542644_51808,542644,51808,PIZZA HUT MARISTA I
138,542644_44371,542644,44371,PIZZA HUT AEROPORTO
139,542644_24584,542644,24584,PIZZA HUT MARISTA II
140,542644_32805,542644,32805,PIZZA HUT PASSEIO
141,542644_39946,542644,39946,PIZZA HUT GYN SHOP
142,542644_99131,542644,99131,POBRE JUAN
143,542644_19492,542644,19492,BOBS APARECIDA SHOP
144,542644_27383,542644,27383,GOL LINHAS AEREAS
145,542644_21879,542644,21879,COMFORT SUITES FLAMB
146,542644_15281,542644,15281,ATLANTICA HOTELS
147,542644_19954,542644,19954,DOLCE VITA EMBARQUE
148,542644_17731,542644,17731,DOLCE VITA TERREO
149,542644_10897,542644,10897,CHOPP TIME NOVA ERA
150,542644_8937,542644,8937,CHOPP TIME FEST
151,542644_18135,542644,18135,SAPORE
152,542644_40587,542644,40587,TATU BOLA
153,542644_90101,542644,90101,SNACKIN
154,542644_45366,542644,45366,MANIA DE CHURRASCO
155,542644_45520,542644,45520,NESCAFE POINT
156,542644_30987,542644,30987,RESTAURANTE 21
157,542644_46929,542644,46929,BEER NOW
158,542644_47126,542644,47126,S e Z COMERCIAL
159,542644_47130,542644,47130,BM7 BEBIDAS
160,542644_10884,542644,10884,IBIS STYLES GOIANIA
161,542644_11344,542644,11344,HOTEL IBIS
162,542644_31044,542644,31044,ANSERVE
163,542644_90920,542644,90920,MERCADO PARA VOCE
164,542644_47996,542644,47996,VANESSA TAKE E GO
165,542644_48895,542644,48895,SWIFT MILAO
166,542644_48900,542644,48900,SWIFT MULTIRAO
167,542644_48923,542644,48923,S e Z comercial
168,542644_49158,542644,49158,HABIBS OESTE
169,1007785_5835,1007785,5835,BOB'S BENTO
170,1007785_6542,1007785,6542,BOB S FARROUPILHA
171,1007785_6229,1007785,6229,SODEXO BORRACH VIPAL
172,1007785_5811,1007785,5811,CROASONHO CAFE BG
173,1007785_6619,1007785,6619,CROASONHO CAFE FARR
174,724009_51493,724009,51493,BURGUER KING
175,724009_4444,724009,4444,RIO QUENTE RESORTS
176,747530_12219,747530,12219,BK PATOS SHOPPING
177,747530_8685,747530,8685,BOBS BURGERS
178,360384_23510,360384,23510,BURGER KING
179,360384_23710,360384,23710,JIN JIN
180,360384_24152,360384,24152,MONTANA GRILL
181,1145002_16109,1145002,16109,CHOPP TIME FEST OURS
182,1145002_16721,1145002,16721,FILIAL BK DRIVE
183,1145002_14294,1145002,14294,HOTEL IBIS
184,1145002_4102,1145002,4102,CACHACARIA AGUA DOCE
185,1145002_16795,1145002,16795,BK SHOPPING OURINHOS
186,1145002_16780,1145002,16780,GRILETTO
187,1145002_98408,1145002,98408,GRILLETO VITORIA
188,1145002_98319,1145002,98319,GRILLETO
189,1145002_17259,1145002,17259,GRILETTO MASSAS
190,639257_9438,639257,9438,AGROPALMA TAILANDIA
191,636002_15681,636002,15681,10 PASTEIS
192,636002_16638,636002,16638,BOB´S BURGUER
193,636002_18130,636002,18130,BURGER KING
194,636002_16188,636002,16188,BURGER KING NACOES
195,636002_1815,636002,1815,HOTEL IBIS CRICIUMA
196,636002_16763,636002,16763,GRILETTO NACOES
197,1716000_94625,1716000,94625,DETROIT STEAKHOUSE
198,1716000_7430,1716000,7430,DIVINO FOGAO
199,1716000_11980,1716000,11980,FILIAL BK ANASHOPPIN
200,1716000_12167,1716000,12167,BURGUER KING
201,135_33371,135,33371,BK VIT CONQUISTA
202,1716000_13780,1716000,13780,GRILETTO
203,1716000_12811,1716000,12811,BENTO REST
204,51800_16048,51800,16048,GRILLETO
205,1912003_9972,1912003,9972,SODEXHO
206,1912003_57485,1912003,57485,BURGER KING
207,1912003_92569,1912003,92569,POINT DO ESPETO
208,1912003_53821,1912003,53821,HABIBS
209,88005_9241,88005,9241,BURGUER KING
210,88005_12148,88005,12148,BURGER KING 2
211,557005_11668,557005,11668,JIN JIN WOK
212,557005_8788,557005,8788,MONTANA GRILL
213,557005_8946,557005,8946,BURGER KING
214,557005_11731,557005,11731,BURGER KING
215,557005_2429,557005,2429,CACHACARIA AGUA DOCE
216,557005_5272,557005,5272,AGUA DOCE CACHACARIA
217,557005_12298,557005,12298,BK  AVARE
218,557005_13529,557005,13529,MARKET CUESTA
219,761656_7299,761656,7299,BURGER KING
220,761656_6696,761656,6696,AGUA DOCE SABORES
221,761656_52009,761656,52009,BURGER KING FS
222,761656_3247,761656,3247,HABIBS TATUI
223,761656_1874,761656,1874,AGUA DOCE CACHACARIA
224,761656_3761,761656,3761,FAST4YOU
225,606634_94063,606634,94063,10 PASTEIS
226,606634_94362,606634,94362,AGUA DOCE CACHACARIA
227,56087_34406,56087,34406,RESTAURANTE GRILETTO
228,56087_31209,56087,31209,MONTANA GRILL
229,944009_15690,944009,15690,CONVIDA 1
230,944009_5227,944009,5227,BK SHOPPING
231,944009_4909,944009,4909,BURGERKING
232,944009_14853,944009,14853,BTG PARK LAGOS
233,944009_18433,944009,18433,BK DRIVE BEST FILIAL
234,944009_17325,944009,17325,DIVINO FOGÃO.M
235,944009_3674,944009,3674,ATLANTICA HOTELS INT
236,944009_19160,944009,19160,10 PASTEIS MACAE
237,944009_79555,944009,79555,RAMADA PLAZA MACAE I
238,944009_19973,944009,19973,Habib's
239,944009_4822,944009,4822,BOBS DRIVE
240,512427_88522,512427,88522,HSC-CLUB MED
241,512427_4115,512427,4115,BURGER KING
242,512427_4964,512427,4964,HSC-FRADE SPOT
243,1006460_2807,1006460,2807,SODEXO - JOHN DEERE
244,1006460_3112,1006460,3112,SODEXO - UNIB
245,1006460_3193,1006460,3193,SODEXO - PP2 PE5
246,1006460_3211,1006460,3211,SODEXO - BRASKEN PE4
247,1006460_4299,1006460,4299,SODEXO - CBC
248,1004093_17857,1004093,17857,BURGER KING
249,599557_6674,599557,6674,MONTANA SIRIGUELA
250,599557_11080,599557,11080,JUAZEIRO BURGUES
251,599557_13332,599557,13332,HABIB S CARIRI
252,340669_12771,340669,12771,BURGUER KING GARDEN
253,340669_13243,340669,13243,BK RIO PLAZA
254,340669_5830,340669,5830,AMAPA HOTEL
255,340669_1743,340669,1743,SUPER FAVORITO
256,624004_3549,624004,3549,BURGER KING
257,141003_25957,141003,25957,BOBS BURGERS
258,141003_24824,141003,24824,VIVENDA DO CAMARAO
259,141003_24419,141003,24419,VIVENDA DO CAMARAO
260,141003_19581,141003,19581,VIVENDA DO CAMARAO
261,141003_26941,141003,26941,OUTBACK STEAKHOUSE
262,141003_23858,141003,23858,BURGUER KING
263,141003_26422,141003,26422,DRIVE DUQUE DE CAXIA
264,141003_22545,141003,22545,BURGUER KING
265,141003_22791,141003,22791,BURGUER KING
266,141003_25854,141003,25854,BK UNIGRANRIO
267,141003_26342,141003,26342,BILLY THE GRILL
268,141003_27468,141003,27468,BK FEIRAO DA MODA
269,141003_19559,141003,19559,PIZZARIA PECORINO LT
270,141003_19889,141003,19889,PIZZARIA SGR LTDA
271,141003_27650,141003,27650,VIKINGS
272,141003_26329,141003,26329,GR SERVICOS E ALIMEN
273,141003_28398,141003,28398,RAGAZZO EXPRESS
274,141003_28399,141003,28399,RAGAZZO EXPRESS SHOP
275,141003_28418,141003,28418,PLK SHOP GRANDE RIO
276,141003_28518,141003,28518,HABIB S RAINHA CENTE
277,141003_27452,141003,27452,BURGER KING OUTLET
278,141003_25112,141003,25112,FILIAL SHOPPING GRAN
279,628662_5006,628662,5006,CACHACARIA AGUA DOCE
280,628662_10640,628662,10640,BK UBATUBA
281,628662_8428,628662,8428,DIVINO FOGAO
282,628662_9455,628662,9455,GRILETTO
283,628662_59111,628662,59111,HABIBS
284,698008_12810,698008,12810,VIVENDA DO CAMARAO
285,698008_22612,698008,22612,BK DOURADOS
286,698008_22378,698008,22378,BURGER KING SHOPPING
287,698008_13943,698008,13943,IBIS DOURADOS
288,698008_25630,698008,25630,PRIME BEER
289,817260_39701,817260,39701,SHOPPING ANANINDEUA
290,879754_35178,879754,35178,CLUB MED PS BA
291,992_7003,992,7003,M B G ALIMENTOS
292,992_7004,992,7004,HOTEL IBIS LTDA
293,992_7811,992,7811,PIZZA HUT RESTA
294,992_8561,992,8561,UCI RIBEIRO LTDA.
295,992_9354,992,9354,CHOPP TIME MA
296,992_9891,992,9891,COCO BAMBU
297,992_10014,992,10014,EXPRESS SAO LUIS SHO
298,992_10544,992,10544,DELCO SAO LUIS
299,992_11221,992,11221,BK SAO LUIS SHOPPING
300,992_11361,992,11361,GRILETTO EQUATORIAL
301,992_11385,992,11385,BOBS EQUATORIAL
302,992_11876,992,11876,SHOP CALHAU
303,992_13430,992,13430,LC RESTAURANTE LTDA
304,992_15991,992,15991,REDECINE BRA SLZ
305,992_65125,992,65125,FILIAL SHOPPING DA I
306,992_65126,992,65126,FILIAL RIO ANIL SHOP
307,992_65223,992,65223,PATIO NORTE MARANHAO
308,992_20133,992,20133,ROCK RIBS RIO ANIL
309,992_20786,992,20786,TAKE AND GO SAO LUIS
310,992_68248,992,68248,KIWI CONVENIENCIA
311,135_33327,135,33327,JIN JIN GASTRONOMIA
312,135_33328,135,33328,MONTANA GRILLL.
313,135_33595,135,33595,J & R
314,88_24785,88,24785,MONT GRILL EXPRES
315,88_25872,88,25872,QUERO PIZZA
316,88_26017,88,26017,BURGER KING 5
317,88_26786,88,26786,HIU ADMINISTRADORA D
318,88_29000,88,29000,SHOPPING BOULEVARD A
319,88_29938,88,29938,CHOPP TIME
320,88_30017,88,30017,BK SHOPPING BOULEVAR
321,88_30179,88,30179,SHOP CENTER UBERABA
322,88_31170,88,31170,VIVENDA DO CAMARAO -
323,88_98016,88,98016,BURGER KING 1 MERCES
324,88_33557,88,33557,HABIBS UBERABA POINT
325,180_21089,180,21089,DIVINO FG FEIRA
326,180_22491,180,22491,IBIS HOTELS
327,180_31880,180,31880,PIZZA HUT - F SANTAN
328,180_32023,180,32023,SHOP AVENIDA
329,180_32484,180,32484,DETROIT STEAKHOUSE -
330,70_31894,70,31894,DIVINO FOGAO ILHEUS
331,70_35342,70,35342,JINJIN ITABUNA
332,70_35873,70,35873,SHOP ITABUNA
333,70_95358,70,95358,BURGER KING ILHEUS
334,70_95203,70,95203,PIZZA HUT2
335,69100_4007,69100,4007,MONTANA GRILL
336,104000_7084,104000,7084,MARILIA F.S
337,104000_5264,104000,5264,BURGUER KING
338,104000_2172,104000,2172,CACHACARIA AGUA DOCE
339,104000_79800,104000,79800,AGUA DOCE CACHACARIA
340,104000_6815,104000,6815,GRILETTO
341,104000_10172,104000,10172,AGUA DOCE CONVENIÊNC
342,104000_7615,104000,7615,CHOPP TIME FEST
343,104000_93340,104000,93340,HABIB S
344,104000_10984,104000,10984,SAPORE AS
345,104000_1161,104000,1161,DOCTOR BEER
346,104000_11287,104000,11287,TG DISTRI BEBIDAS
347,817929_8521,817929,8521,BOBS
348,1004719_13493,1004719,13493,DIVINO FOGAO
349,1004719_12667,1004719,12667,BURGUER KING
350,1004719_16157,1004719,16157,10 PASTEIS
351,1005588_90996,1005588,90996,10 PASTEIS
352,1005588_12646,1005588,12646,BOB'S BURGUER
353,1005588_11688,1005588,11688,BURGER KING
354,1005588_12782,1005588,12782,BK SHOPPING PF
355,1005588_10272,1005588,10272,IBIS PASSO FUNDO SHO
356,1005588_93187,1005588,93187,IBIS ERECHIM
357,1808001_5719,1808001,5719,FQ-DIVINO FOGAO
358,1808001_7356,1808001,7356,FQ-GRILETTO RIO POTY
359,1808001_6209,1808001,6209,FQ-GRILETTO
360,878928_3801,878928,3801,PAMPA FOOD
361,323527_21894,323527,21894,IBIS HOTEL
362,323527_9752,323527,9752,BURGUER KING
363,323527_8555,323527,8555,AGUA DOCE SORRISO
364,323527_10391,323527,10391,AGUA DOCE CACHACARIA
365,323527_10459,323527,10459,AGUA DOCE CACHACARIA
366,536962_50731,536962,50731,DUFRY DO BRASIL DUTY
367,536962_50730,536962,50730,DUFRY DO BRASIL DUTY
368,536962_50729,536962,50729,DUFRY DO BRASIL DUTY
369,536962_50728,536962,50728,DUFRY DO BRASIL DUTY
370,536962_50436,536962,50436,DFA BRASIL COMERCIO
371,536962_47797,536962,47797,INTERNATIONAL MEAL C
372,536962_49608,536962,49608,AZUL LINHAS AEREAS
373,536962_50412,536962,50412,PIZZARIA HUT
374,536962_51066,536962,51066,LATAM AIRLINES BRAS
375,536962_51081,536962,51081,FILIAL BURGER KING A
376,536962_51491,536962,51491,SMART BOX CONVENIENC
377,536962_52316,536962,52316,LAGOA SOLUCOES
378,93017_11662,93017,11662,BURGER KING VOTUPORA
379,93017_10290,93017,10290,BURGUER KING
380,93017_12845,93017,12845,HOTEL FERNANDOPOLIS
381,1005669_11023,1005669,11023,HOTEL SERRANO
382,1005669_14498,1005669,14498,JOHNNY ROCKETS
383,1005669_14503,1005669,14503,CROASONHO GRAMADO
384,1888005_16821,1888005,16821,DELICIOUS BURGUER AL
385,1131001_7769,1131001,7769,AGUA DOCE CACHACARIA
386,1131001_6677,1131001,6677,BOBS PRIMAVERA
387,1131001_7323,1131001,7323,CROASONHO
388,944_6650,944,6650,BURGER KING (ADISER)
389,944_7025,944,7025,MONTANA EXP
390,944_7026,944,7026,BK SHOP RIO CLARO
391,944_7039,944,7039,DIVINO FOGAO(MOGI)
392,944_7042,944,7042,BK - FILIAL SHOPPING
393,944_7056,944,7056,BK JARDIM CLARET
394,944_7057,944,7057,BK SHOPPING BURITI
395,944_7141,944,7141,JIN JIN WOK MOGI MIR
396,944_7342,944,7342,BK SHOPPING NACOES
397,944_7707,944,7707,BK BIG BOM CENTRO
398,944_8131,944,8131,JIN JIN WOK MOGIMIRI
399,944_8593,944,8593,FOOD & DRINK RIO CLA
400,944_8619,944,8619,JIN JIN LIMEIRA
401,944_9594,944,9594,JINJINWOK
402,944_10025,944,10025,GORDAO LANCHES EIREL
403,944_10176,944,10176,10 PASTEIS MOGI MIRI
404,944_10480,944,10480,LIMEIRA PATIO
405,944_10859,944,10859,SHOP BOULEVARD MOGI
406,944_10880,944,10880,GRELHADO GUACUANO
407,944_10894,944,10894,PLK SHOP CENTER LIME
408,944_10909,944,10909,PLK SHOP MOGI GUACU
409,944_10910,944,10910,SHOP BANDEIRANTES MO
410,944_89554,944,89554,CACHACARIA AGUA DOCE
411,944_89668,944,89668,GRILETTO MLP
412,944_89669,944,89669,GRILETTO MOGI SP
413,944_89712,944,89712,GRILETTO LUQUINI
414,944_89713,944,89713,GRILETTO MOGI SAP
415,944_89714,944,89714,GRILETTO NEVES
416,944_89715,944,89715,GUIGUET & LUQUINI LT
417,944_89907,944,89907,PIZZA HUT MOGI M
418,944_90467,944,90467,CAC AGUA DOCE
419,944_4397,944,4397,RESTAURANTE JANGADA
420,944_7361,944,7361,REST CHURRASCARIA JA
421,944_10345,944,10345,COMFORT HOTEL MOGI G
422,944_11167,944,11167,DIVINO FOGAO - FAZEN
423,944_11582,944,11582,MARKETBOX MERCEARIA
424,944_12444,944,12444,GUIGUET & LUQUINI LT
425,944_12362,944,12362,VIVENDAS RIO CLARO B
426,944_12627,944,12627,GS LARA ALIMENTOS LT
427,944_7005,944,7005,COZINHA DIVINA
428,944_13032,944,13032,CACHACARIA RIO CLARO
429,944_13092,944,13092,FF 10 PASTEIS LIMEIR
430,944_13090,944,13090,FS MOGI MIRIM - R PD
431,944_13115,944,13115,HABIBS RIO CLARO
432,944_13249,944,13249,HOME MARKET COM ALIM
433,67_6351,67,6351,HOTEL IBIS MARANHAO
434,61_2409,61,2409,PIZZARIA PARME(AV GO
435,61_10406,61,10406,V. DO CAMARAO
436,61_11433,61,11433,BK BRASIL OPERACAO E
437,61_13497,61,13497,REST VILA VANILLA
438,61_13945,61,13945,FILIAL TOP SHOPPING
439,61_15573,61,15573,BTG TOP SHOPPING
440,61_15911,61,15911,BK FS POSTO 13
441,61_16292,61,16292,OUTBACK RESTAU
442,61_16642,61,16642,PIZZARIA PARMA II
443,61_98565,61,98565,VIZINHANDO TOP SHOPP
444,61_98827,61,98827,GRILETTO TOP SHOPPIN
445,61_99225,61,99225,FILIAL SHOPPING NOVA
446,61_99516,61,99516,BK FILIAL NOVA IGUAC
447,61_18130,61,18130,PLK SHOPPING NOVA IG
448,61_18056,61,18056,VIKINGS REST
449,61_18084,61,18084,BILLY DE GRILL NOVA
450,61_21634,61,21634,REX ESTACAO FERROVIA
451,61_21816,61,21816,HABIBS VIA DUTRA
452,61_21845,61,21845,10 PASTEIS NOVA IGUA
453,61_98566,61,98566,BK NILOPOLIS SQUARE
454,61_21885,61,21885,HABIBS NILOPOLIS
455,61_21943,61,21943,REX QUEIMADOS
456,61_97096,61,97096,REX ROBERTO SILVEIRA
457,934_1728,934,1728,DIVINO FOGAO JP
458,934_2097,934,2097,BUR KING SP
459,934_2126,934,2126,PIZZA HUT CAMPINA GR
460,934_2503,934,2503,GR SERVICOS
461,934_2051,934,2051,IBIS STYLES CAMPINA
462,934_96842,934,96842,COMERCIAL CARLOS 85
463,926_579,926,579,BOB S. III
464,926_4334,926,4334,BK SHOPPING
465,926_5816,926,5816,BURGUER KING SC
466,926_5817,926,5817,OUTBACK STEAKHOUSE C
467,926_6425,926,6425,10 - PASTEIS
468,926_6593,926,6593,BRUSQUE
469,926_6594,926,6594,ITAPEMA
470,926_6856,926,6856,PECORINO AM
471,926_7494,926,7494,BURGER KING CAMBU
472,926_7617,926,7617,BK Camboriu
473,926_8735,926,8735,FS SC - ITAJAI
474,926_8946,926,8946,ATLANTICO SHOP
475,926_9000,926,9000,BKB PORTO BELO OUTLE
476,926_9195,926,9195,DEZ PASTEIS ITAJAI
477,926_5348,926,5348,VRG LINHAS AEREAS S.
478,926_8196,926,8196,HILTON GARDEN INN IT
479,926_10569,926,10569,AMORES MARKET
480,926_10864,926,10864,BETO CARRERO WORLD
481,926_2460,926,2460,GENERAL KUSTER
482,926_10766,926,10766,GUSTO D ITALIA SORVE
483,926_10767,926,10767,CAMARAO EXPRESS.
484,926_10768,926,10768,EU AMO FRANGO
485,926_10769,926,10769,PADDOCK BAR E BOLICH
486,926_10770,926,10770,ICE BOM
487,926_10771,926,10771,10 PASTEIS-
488,926_10772,926,10772,RESTAURANTE MARGARIT
489,926_10773,926,10773,CHURRASCO NA BRASA
490,926_10774,926,10774,RESTAURANTE SABOR BR
491,926_10775,926,10775,SISSA DOCES
492,926_10776,926,10776,VILLA ALPINA SORVETE
493,926_10777,926,10777,ANDAR COMERCIO
494,926_10778,926,10778,APACHE LANCHES
495,926_10779,926,10779,ATALIBA CHURRASCARIA
496,926_10780,926,10780,BELKA ALIMENTOS
497,926_10781,926,10781,JUNGLE SNACKS
498,926_10782,926,10782,ACORES RESTAURANTE
499,926_10783,926,10783,FARMACIA DO PARQUE
500,926_10784,926,10784,TRINK EKE
501,926_10785,926,10785,VF LOCACAO
502,926_10786,926,10786,NATURAL MIX
503,926_10803,926,10803,ITALIAN SORVETES BET
504,926_10805,926,10805,DELICIA D ESPANHA
505,926_10806,926,10806,PASTEL DA HORA
506,926_10810,926,10810,LOJA ARCOR
507,926_10832,926,10832,AROMA
508,926_10955,926,10955,BETO CARRERO WORLD.
509,926_11195,926,11195,MINHA QUITANDINHA VI
510,926_11097,926,11097,MINHA QUITANDINHA DO
511,926_15599,926,15599,10 PASTEIS - CMK
512,926_11247,926,11247,SAPORE KLABIN ITAJAI
513,926_11254,926,11254,CROASONHO BRUSQUE CE
514,926_11255,926,11255,CROASONHO BAL CAMBOR
515,926_10922,926,10922,EXCALIBUR
516,926_11391,926,11391,CHEFE MARIA CRISCUOL
517,926_11510,926,11510,FAST FOR YOU S VICEN
518,928_810,928,810,IBIS ACCOR HOTELS
519,928_4437,928,4437,BURGER KING
520,928_4452,928,4452,BK 470
521,928_5755,928,5755,DIVINO BLUMENAU
522,928_6225,928,6225,IBIS BUDGET BLUMENA
523,928_6593,928,6593,MONTANA GRILL NEW MK
524,928_6707,928,6707,PARK EUROPEU BLUMENA
525,928_26605,928,26605,BK BLUMENAU DRIVE
526,928_6956,928,6956,QUALITY SUITES BLUME
527,928_7692,928,7692,CROASONHO ITAJAI CEN
528,928_7725,928,7725,10 PASTEIS - F9
529,928_27187,928,27187,M2BE HONEST MARKET
530,928_7885,928,7885,HABIBS BLUMENAU
531,1001035_31061,1001035,31061,BK DRIVE PHILADELPHO
532,1001035_1212,1001035,1212,JIM JIM WOK
533,1001035_35684,1001035,35684,JIN JIN CHINESE
534,1001035_6467,1001035,6467,JIN JIN IGUATEMI
535,1001035_1327,1001035,1327,MONTANA GRILL
536,1001035_98996,1001035,98996,MONTANA GRILL
